,location,gender,rent,lowerage,upperage
0,Steglitz-Zehlendorf,male,750,41,59
1,Neukoelln,unknown,800,22,27
2,Tempelhof-Schoeneberg,unknown,650,20,32
3,Lichtenberg,female,500,44,66
4,Treptow-Koepenick,male,800,45,54
5,Spandau,female,700,40,62
6,Reinickendorf,female,400,26,34
7,Spandau,male,500,26,27
8,Lichtenberg,male,450,37,44
9,Treptow-Koepenick,female,550,24,32
10,Reinickendorf,unknown,650,44,60
11,Tempelhof-Schoeneberg,unknown,700,35,57
12,Pankow,unknown,700,24,38
13,Pankow,male,600,35,43
14,Charlottenburg-Wilmersdorf,male,600,32,33
15,Mitte,female,750,36,57
16,Steglitz-Zehlendorf,unknown,750,31,33
17,Treptow-Koepenick,female,450,22,40
18,Lichtenberg,male,400,45,53
19,Mitte,female,450,28,41
20,Marzahn-Hellersdorf,female,500,25,37
21,Steglitz-Zehlendorf,male,800,35,41
22,Friedrichshain-Kreuzberg,unknown,550,37,55
23,Friedrichshain-Kreuzberg,female,500,45,59
24,Reinickendorf,male,550,37,47
25,Lichtenberg,female,750,30,48
26,Treptow-Koepenick,male,600,29,45
27,Steglitz-Zehlendorf,male,400,38,61
28,Tempelhof-Schoeneberg,female,600,20,37
29,Pankow,male,750,21,40
30,Steglitz-Zehlendorf,male,750,21,31
31,Lichtenberg,male,750,18,30
32,Mitte,female,700,34,54
33,Lichtenberg,unknown,700,22,32
34,Mitte,female,750,32,33
35,Tempelhof-Schoeneberg,female,750,22,37
36,Lichtenberg,male,750,38,51
37,Treptow-Koepenick,male,450,36,57
38,Reinickendorf,female,500,43,54
39,Marzahn-Hellersdorf,female,700,36,53
40,Neukoelln,unknown,450,39,49
41,Charlottenburg-Wilmersdorf,male,800,43,66
42,Steglitz-Zehlendorf,female,750,27,45
43,Marzahn-Hellersdorf,male,750,27,42
44,Pankow,female,750,34,40
45,Lichtenberg,unknown,750,41,42
46,Pankow,unknown,450,37,40
47,Reinickendorf,female,600,35,55
48,Mitte,male,700,47,69
49,Pankow,female,550,18,23
50,Neukoelln,male,650,28,33
51,Charlottenburg-Wilmersdorf,unknown,450,33,37
52,Spandau,male,550,37,47
53,Spandau,female,700,46,47
54,Spandau,female,600,45,62
55,Marzahn-Hellersdorf,male,700,47,52
56,Neukoelln,female,450,30,35
57,Mitte,male,750,41,50
58,Charlottenburg-Wilmersdorf,male,500,20,22
