location;gender;rent
Steglitz-Zehlendorf;male;750
Neukoelln;unknown;800
Tempelhof-Schoeneberg;unknown;650
Lichtenberg;female;500
Treptow-Koepenick;male;800
Spandau;female;700
Reinickendorf;female;400
Spandau;male;500
Lichtenberg;male;450
Treptow-Koepenick;female;550
Reinickendorf;unknown;650
Tempelhof-Schoeneberg;unknown;700
Pankow;unknown;700
Pankow;male;600
Charlottenburg-Wilmersdorf;male;600
Mitte;female;750
Steglitz-Zehlendorf;unknown;750
Treptow-Koepenick;female;450
Lichtenberg;male;400
Mitte;female;450
Marzahn-Hellersdorf;female;500
Steglitz-Zehlendorf;male;800
Friedrichshain-Kreuzberg;unknown;550
Friedrichshain-Kreuzberg;female;500
Reinickendorf;male;550
Lichtenberg;female;750
Treptow-Koepenick;male;600
Steglitz-Zehlendorf;male;400
Tempelhof-Schoeneberg;female;600
Pankow;male;750
Steglitz-Zehlendorf;male;750
Lichtenberg;male;750
Mitte;female;700
Lichtenberg;unknown;700
Mitte;female;750
Tempelhof-Schoeneberg;female;750
Lichtenberg;male;750
Treptow-Koepenick;male;450
Reinickendorf;female;500
Marzahn-Hellersdorf;female;700
Neukoelln;unknown;450
Charlottenburg-Wilmersdorf;male;800
Steglitz-Zehlendorf;female;750
Marzahn-Hellersdorf;male;750
Pankow;female;750
Lichtenberg;unknown;750
Pankow;unknown;450
Reinickendorf;female;600
Mitte;male;700
Pankow;female;550
Neukoelln;male;650
Charlottenburg-Wilmersdorf;unknown;450
Spandau;male;550
Spandau;female;700
Spandau;female;600
Marzahn-Hellersdorf;male;700
Neukoelln;female;450
Mitte;male;750
Charlottenburg-Wilmersdorf;male;500
Friedrichshain-Kreuzberg;male;650
Reinickendorf;unknown;600
Marzahn-Hellersdorf;female;750
Neukoelln;unknown;800
Pankow;female;600
Pankow;male;700
Treptow-Koepenick;unknown;500
Spandau;unknown;750
Treptow-Koepenick;male;550
Spandau;male;800
Friedrichshain-Kreuzberg;male;750
Mitte;male;700
Marzahn-Hellersdorf;female;500
Pankow;male;750
Reinickendorf;male;700
Friedrichshain-Kreuzberg;unknown;750
Tempelhof-Schoeneberg;unknown;450
Charlottenburg-Wilmersdorf;unknown;750
Treptow-Koepenick;unknown;650
Tempelhof-Schoeneberg;unknown;500
Pankow;female;400
Pankow;female;750
Lichtenberg;unknown;400
Marzahn-Hellersdorf;female;750
Pankow;male;650
Reinickendorf;male;800
Tempelhof-Schoeneberg;female;600
Charlottenburg-Wilmersdorf;female;650
Lichtenberg;male;550
Neukoelln;unknown;550
Charlottenburg-Wilmersdorf;unknown;450
Reinickendorf;female;600
Charlottenburg-Wilmersdorf;female;800
Spandau;unknown;500
Charlottenburg-Wilmersdorf;unknown;650
Charlottenburg-Wilmersdorf;unknown;400
Treptow-Koepenick;unknown;650
Charlottenburg-Wilmersdorf;female;600
Tempelhof-Schoeneberg;unknown;500
Lichtenberg;unknown;600
Spandau;female;700
